Bundle SPP,,,,,,56,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,,"Auto
Result",Result,Step,,Code,,SKU List,,,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty,GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Auto Test Results,Duration
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB",,,SM-X520NLBETGY,SPP,"
",SM-X520NLBETGY,1,1,"4,588","4,588","3,533","3,533","1,080",,"1,080",,,,,"3,533.00","3,533.00",0.00,,"3,533.00",,,"3,533.00",,,,,,,,,,,,,,,,,,,
AVDA-01,S25 AVDA Offer - <10000,,,,1,Add all to cart using this link,,,"Galaxy S25+, 256GB+12GB, Mint",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9360LGDTGY&&products[0].quantity=1&&products[1].productCode=LS27FG816SCXXK&&products[1].quantity=1,"SM-S9360LGDTGY, LS27FG816SCXXK",SM-S9360LGDTGY,SPP,"
",SM-S9360LGDTGY,1,1,"7,598","7,598","6,458","6,458",300,,300,300.00,,,,"6,458.00","6,458.00",0.00,0.00,"6,458.00","14,091.00",150.00,"6,389.25","13,941.00",1 x  Z-AVDAVOUCHER,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"27"" Odyssey OLED G8 G81SF Gaming Monitor (240Hz)",,,LS27FG816SCXXK,SPP,"
",LS27FG816SCXXK,1,1,"8,980","8,980","7,633","7,633",,,0,,,,,"7,633.00","7,633.00",0.00,,"7,633.00",,,"7,633.00",,,,,,,,,,,,,,,,,,,
AVDA-02,S25 AVDA Offer - 10000-19999,,,,1,Add all to cart using this link,,,"Galaxy S25+, 256GB+12GB, Mint",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9360LGDTGY&&products[0].quantity=1&&products[1].productCode=QA48S90FAEXZK&&products[1].quantity=1,"SM-S9360LGDTGY, QA48S90FAEXZK",SM-S9360LGDTGY,SPP,"
",SM-S9360LGDTGY,1,1,"7,598","7,598","6,458","6,458",300,,300,300.00,,,,"6,458.00","6,458.00",0.00,0.00,"6,458.00","17,261.00",150.00,"6,401.88","17,111.00",,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"48"" OLED S90F (2025)",,,QA48S90FAEXZK,SPP,"
",QA48S90FAEXZK,1,1,"13,980","13,980","11,603","11,603",,,0,,800,NRP,"10,803.00","10,803.00","10,803.00",0.00,,"10,803.00",,,"10,803.00",,,,,,,,,,,,,,,,,,,
AVDA-03,S25 AVDA Offer - >=20000,,,,1,Add all to cart using this link,,,"Galaxy S25+, 256GB+12GB, Mint",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9360LGDTGY&&products[0].quantity=1&&products[1].productCode=QA65QN900FJXZK&&products[1].quantity=1,"SM-S9360LGDTGY, QA65QN900FJXZK",SM-S9360LGDTGY,SPP,"
",SM-S9360LGDTGY,1,1,"7,598","7,598","6,458","6,458",300,,300,300.00,,,,"6,458.00","6,458.00",0.00,0.00,"6,458.00","34,560.00",150.00,"6,429.97","34,410.00",,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"65"" Neo QLED 8K QN990 (2025)",,,QA65QN900FJXZK,SPP,"
",QA65QN900FJXZK,1,1,"33,980","33,980","29,902","29,902",,,0,,"1,800",NRP,"28,102.00","28,102.00","28,102.00",0.00,,"28,102.00",,,"28,102.00",,,,,,,,,,,,,,,,,,,
SOCIAL-01,S25 social campaign til (til Jun 27),,,,1,Add all to cart using this link,Add code: Free TA for S25 series + S25 Edge - web - 1,FJ3-XSAD-8BP8-EC78,"Galaxy S25 Ultra, 1TB+16GB, Titanium Black",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZKWTGY&&products[0].quantity=1&&products[1].productCode=SM-S9360LBDTGY&&products[1].quantity=1,"SM-S9380ZKWTGY, SM-S9360LBDTGY",SM-S9380ZKWTGY,SPP,"
",SM-S9380ZKWTGY,1,1,"13,398","13,398","11,120","11,120",350,,350,650.00,,,,"11,120.00","11,120.00",0.00,0.00,"11,120.00","17,578.00",150.00,"11,025.11","17,428.00",2 x   Z-ITFITPW03,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25+, 256GB+12GB, Icyblue",,,SM-S9360LBDTGY,SPP,"
",SM-S9360LBDTGY,1,1,"7,598","7,598","6,458","6,458",300,,300,,,,,"6,458.00","6,458.00",0.00,,"6,458.00",,,"6,458.00",,,,,,,,,,,,,,,,,,,
SOCIAL-02,S25 social campaign til (til Jun 27),,,,1,Add all to cart using this link,Add code: Free TA for S25 series + S25 Edge - sprinklr - 1,881-PTN4-ZTRN-2C4C,"Galaxy S25, 256GB+8GB, Blueblack, exclusive",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9310ZKGTGY&&products[0].quantity=1&&products[1].productCode=SM-S9370LBGTGY&&products[1].quantity=1,"SM-S9310ZKGTGY, SM-S9370LBGTGY",SM-S9310ZKGTGY,SPP,"
0",SM-S9310ZKGTGY,1,0,"5,898","5,898","4,718","4,718",300,,300,500.00,,,,"4,718.00","4,718.00",0.00,0.00,"4,718.00","12,988.00",150.00,"4,663.51","12,838.00",2 x   Z-ITFITPW03,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25 Edge, 512GB+12GB, Titanium Icyblue",,,SM-S9370LBGTGY,SPP,"
",SM-S9370LBGTGY,1,1,"9,398","9,398","8,270","8,270",200,,200,,,,,"8,270.00","8,270.00",0.00,,"8,270.00",,,"8,270.00",,,,,,,,,,,,,,,,,,,
HRgame,B7Q7 HRgame 100GC,,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,65W Power Adapter Trio,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EP-T6530NBEGGB&&products[0].quantity=1&&products[1].productCode=EF-GS931CBEGWW&&products[1].quantity=1,"EP-T6530NBEGGB, EF-GS931CBEGWW",EP-T6530NBEGGB,SPP,"
",EP-T6530NBEGGB,1,1,478,478,359,359,,100,100,100.00,,,,359.00,359.00,359.00,620.00,301.10,520.00,0.00,301.10,520.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25, Standing Grip Case, Black",,,EF-GS931CBEGWW,SPP,"
",EF-GS931CBEGWW,1,1,348,348,261,261,,,0,,,,,261.00,261.00,261.00,,218.90,,,218.90,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
,,,,,,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,SPP,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
,,,,,,SPP Cart Link,,,,,,,SPP,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
MAY27TH,ME Bundle,,,,,May 15 - Jun 30,,,,,,,SPP,"
",,,,,,,,,,0,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
ME-01,Watch Ultra + Buds3 Pro + Buds3,,,Passed,1,Add all to cart using this link,Add code: Aging Clearance Offer - eDM - 1,,"Galaxy Watch Ultra, Titanium Gray",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L705FDAATGY&&products[0].quantity=1&&products[1].productCode=SM-R630NZAATGY&&products[1].quantity=1&&products[2].productCode=SM-R530NZAATGY&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=,"SM-L705FDAATGY, SM-R630NZAATGY, SM-R530NZAATGY",SM-L705FDAATGY,SPP,"
",SM-L705FDAATGY,1,1,"5,098","5,098","3,824","3,824",,,0,0.00,1300,RRP,"3,798.00","3,798.00","3,798.00","3,798.00","5,297.00","3,798.00","6,346.00",150.00,"3,708.23","6,196.00",,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Buds3 Pro, Silver",,,SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,,,,,"1,499.00","1,499.00","1,499.00",,"1,499.00",,,"1,463.57",,,,,,,,,,,,,,,,,,,
,,,,,3,Verify bundle & total prices,,,"Galaxy Buds3, Silver",,,SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,,,,,"1,049.00","1,049.00",0.00,,"1,049.00",,,"1,024.20",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SPP,,,,,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
ME-02,Watch7 + Buds3 Pro + Buds3,,,Passed,1,Add all to cart using this link,Add code: Aging Clearance Offer - eDM - 1,,"Galaxy Watch7 44mm (BT), Silver",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L310NZSATGY&&products[0].quantity=1&&products[1].productCode=SM-R630NZAATGY&&products[1].quantity=1&&products[2].productCode=SM-R530NZAATGY&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=,"SM-L310NZSATGY, SM-R630NZAATGY, SM-R530NZAATGY",SM-L310NZSATGY,SPP,"
",SM-L310NZSATGY,1,1,"2,598","2,598","1,949","1,949",,,0,0.00,1100,RRP,"1,498.00","1,498.00","1,498.00","1,498.00","2,997.00","1,498.00","4,046.00",150.00,"1,442.46","3,896.00",,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Buds3 Pro, Silver",,,SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,,,,,"1,499.00","1,499.00","1,499.00",,"1,499.00",,,"1,443.43",,,,,,,,,,,,,,,,,,,
,,,,,3,Verify bundle & total prices,,,"Galaxy Buds3, Silver",,,SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,,,,,"1,049.00","1,049.00",0.00,,"1,049.00",,,"1,010.11",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SPP,,,,,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
ME-03,Watch7 x 2 + Buds3 Pro + Buds3,,,Passed,1,Add all to cart using this link,Add code: Aging Clearance Offer - eDM - 1,,"Galaxy Watch7 44mm (LTE), Green",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L315FZGATGY&&products[0].quantity=2&&products[1].productCode=SM-R630NZAATGY&&products[1].quantity=1&&products[2].productCode=SM-R530NZAATGY&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=,"SM-L315FZGATGY, SM-R630NZAATGY, SM-R530NZAATGY",SM-L315FZGATGY,SPP,"
0",SM-L315FZGATGY,2,0,"5,996","2,998","2,249","2,249",,,0,0.00,1100,RRP,"1,898.00","1,898.00","3,796.00","3,796.00","5,295.00","3,796.00","6,344.00",150.00,"3,706.25","6,194.00",,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Buds3 Pro, Silver",,,SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,,,,,"1,499.00","1,499.00","1,499.00",,"1,499.00",,,"1,463.56",,,,,,,,,,,,,,,,,,,
,,,,,3,Verify bundle & total prices,,,"Galaxy Buds3, Silver",,,SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,,,,,"1,049.00","1,049.00",0.00,,"1,049.00",,,"1,024.20",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SPP,,,,,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
ME-04,Watch Ultra + Watch7 + Buds3 Pro,,,Passed,1,Add all to cart using this link,Add code: Aging Clearance Offer - eDM - 1,,"Galaxy Watch Ultra, Titanium Gray",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L705FDAATGY&&products[0].quantity=1&&products[1].productCode=SM-L305FZEATGY&&products[1].quantity=1&&products[2].productCode=SM-R630NZAATGY&&products[2].quantity=1&&products[3].productCode=SM-R530NZAATGY&&products[3].quantity=1,"SM-L705FDAATGY, SM-L305FZEATGY, SM-R630NZAATGY, SM-R530NZAATGY",SM-L705FDAATGY,SPP,"
",SM-L705FDAATGY,1,1,"5,098","5,098","3,824","3,824",,,0,0.00,1300,RRP,"3,798.00","3,798.00","3,798.00","3,798.00","7,396.00","3,798.00","8,445.00",150.00,"3,730.54","8,295.00",,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch7 40mm (LTE), Cream",,,SM-L305FZEATGY,SPP,"
",SM-L305FZEATGY,1,1,"2,798","2,798","2,099","2,099",,,0,,,,,"2,099.00","2,099.00","2,099.00",,"2,099.00",,,"2,061.72",,,,,,,,,,,,,,,,,,,
,,,,,3,Verify bundle & total prices,,,"Galaxy Buds3 Pro, Silver",,,SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,,,,,"1,499.00","1,499.00","1,499.00",,"1,499.00",,,"1,472.37",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Galaxy Buds3, Silver",,,SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,,,,,"1,049.00","1,049.00",0.00,,"1,049.00",,,"1,030.37",,,,,,,,,,,,,,,,,,,
SIMUL,S25 + Watch Ultra + Buds3 Pro + Buds3,,,Failed,1,Add all to cart using this link,Add code: Aging Clearance Offer - eDM - 1,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Silverblue",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZBGTGY&&products[0].quantity=1&&products[1].productCode=SM-L705FDAATGY&&products[1].quantity=1&&products[2].productCode=SM-R530NZAATGY&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=,"SM-S9380ZBGTGY, SM-L705FDAATGY, SM-R530NZAATGY",SM-S9380ZBGTGY,SPP,"
",SM-S9380ZBGTGY,1,1,"10,898","10,898","9,045","9,045",350,,350,350.00,,,,"9,045.00","9,045.00",0.00,"3,798.00","9,045.00","12,992.00",150.00,"8,940.57","12,842.00",,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch Ultra, Titanium Gray",,,SM-L705FDAATGY,SPP,"
",SM-L705FDAATGY,1,1,"5,098","5,098","3,824","3,824",,,0,,1300,RRP,"3,798.00","3,798.00","3,798.00","3,798.00",,"3,448.00",,,"3,408.19",,,,,,,,,,,,,,,,,,,
,,,,,3,Verify bundle & total prices,,,"Galaxy Buds3, Silver",,,SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,,899,RRP,499.00,499.00,499.00,0.00,,499.00,,,493.24,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SPP,,,,,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,
ME-06,Fold6 + Watch Ultra + Buds3 Pro + Buds3,,,Passed,1,Add all to cart using this link,Add code: Aging Clearance Offer - eDM - 1,,"Galaxy Z Fold6, 256GB+12GB, White (eStore)",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-F9560ZWDTGY&&products[0].quantity=1&&products[1].productCode=SM-L310NZSATGY&&products[1].quantity=1&&products[2].productCode=SM-R630NZAATGY&&products[2].quantity=1&&products[3].productCode=SM-R530NZAATGY&&products[3].quantity=1,"SM-F9560ZWDTGY, SM-L310NZSATGY, SM-R630NZAATGY, SM-R530NZAATGY",SM-F9560ZWDTGY,SPP,"
",SM-F9560ZWDTGY,1,1,"14,398","14,398","10,079","10,079",500,,500,500.00,,,,"10,079.00","10,079.00",0.00,"2,996.00","10,079.00","13,473.00",150.00,"9,966.79","13,323.00",,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch7 44mm (BT), Silver",,,SM-L310NZSATGY,SPP,"
",SM-L310NZSATGY,1,1,"2,598","2,598","1,949","1,949",,,0,,1100,RRP,"1,498.00","1,498.00","1,498.00","1,498.00",,"1,248.00",,,"1,234.11",,,,,,,,,,,,,,,,,,,
,,,,,3,Verify bundle & total prices,,,"Galaxy Buds3 Pro, Silver",,,SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,,500,RRP,"1,498.00","1,498.00","1,498.00","1,498.00",,"1,248.00",,,"1,234.11",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Galaxy Buds3, Silver",,,SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,,500,RRP,898.00,898.00,898.00,0.00,,898.00,,,888.00,,,,,,,,,,,,,,,,,,,
MAY27TH,SMP ME Bundle,,,,,May 15 - Jun 30,,,,, ,,SPP,"
",,,,,,,,,,0,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
ME-01,Watch Ultra + Buds3 + S25,,,Passed,1,Add all to cart using this link,Add code: Aging Clearance Offer - eDM - 1,,"Galaxy Watch7 40mm (BT), Cream",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L300NZEATGY&&products[0].quantity=1&&products[1].productCode=SM-R630NZAATGY&&products[1].quantity=1&&products[2].productCode=SM-S9360ZKDTGY&&products[2].quantity=1&&products[3].productCode=EF-US936CTEGWW&&products[3].quantity=1,"SM-L300NZEATGY, SM-R630NZAATGY, SM-S9360ZKDTGY, EF-US936CTEGWW",SM-L300NZEATGY,SPP,"
",SM-L300NZEATGY,1,1,"2,398","2,398","1,799","1,799",,,0,300.00,,,,"1,799.00","1,799.00","1,799.00","3,416.00",898.20,"8,451.19",150.00,882.26,"8,301.19",,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Buds3 Pro, Silver",,,SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,,500,RRP,"1,498.00","1,498.00","1,498.00","1,498.00",,"1,366.44",,,"1,342.19",,,,,,,,,,,,,,,,,,,
,,,,,3,Verify bundle & total prices,,,"Galaxy S25+, 256GB+12GB, Blueblack, exclusive",,,SM-S9360ZKDTGY,SPP,"
",SM-S9360ZKDTGY,1,1,"7,598","7,598","6,078","6,078",300,,300,,,,,"6,078.00","6,078.00",0.00,,"6,078.00",,,"5,970.12",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"1 x  Galaxy S25+, Anti-Reflecting Screen Protector, Transparency",,,EF-US936CTEGWW,SPP,"
",EF-US936CTEGWW,1,1,158,158,119,119,,,0,,,,,119.00,119.00,119.00,,108.55,,,106.62,,,,,,,,,,,,,,,,,,,
